Spanish_Country,English_Country,Spanish_Nationality,English_Nationality
Afganistán,Afghanistan,afgano/a,Afghan
Albania,Albania,albanés/albanesa,Albanian
Alemania,Germany,alemán/alemana,German
Andorra,Andorra,andorrano/a,Andorran
Angola,Angola,angoleño/a,Angolan
Antigua y Barbuda,Antigua and Barbuda,antiguano/a y barbudense,Antiguan and Barbudan
Arabia Saudita,Saudi Arabia,saudí,Saudi
Argelia,Algeria,argelino/a,Algerian
Argentina,Argentina,argentino/a,Argentine
Armenia,Armenia,armenio/a,Armenian
Australia,Australia,australiano/a,Australian
Austria,Austria,austriaco/a,Austrian
Azerbaiyán,Azerbaijan,azerbaiyano/a,Azerbaijani
Bahamas,Bahamas,bahameño/a,Bahamian
Bangladés,Bangladesh,bangladesí,Bangladeshi
Barbados,Barbados,barbadense,Barbadian
Baréin,Bahrain,bareiní,Bahraini
Bélgica,Belgium,belga,Belgian
Belice,Belize,beliceño/a,Belizean
Benín,Benin,beninés/beninesa,Beninese
Bielorrusia,Belarus,bielorruso/a,Belarusian
Birmania,Myanmar,birmano/a,Burmese
Bolivia,Bolivia,boliviano/a,Bolivian
Bosnia y Herzegovina,Bosnia and Herzegovina,bosnio/a,Bosnian and Herzegovinian
Botsuana,Botswana,botsuano/a,Batswana
Brasil,Brazil,brasileño/a,Brazilian
Brunéi,Brunei,bruneano/a,Bruneian
Bulgaria,Bulgaria,búlgaro/a,Bulgarian
Burkina Faso,Burkina Faso,burkinés/burkinabé,Burkinabé
Burundi,Burundi,burundés/burundesa,Burundian
Bután,Bhutan,butanés/butanesa,Bhutanese
Cabo Verde,Cape Verde,caboverdiano/a,Cape Verdean
Camboya,Cambodia,camboyano/a,Cambodian
Camerún,Cameroon,camerunés/camerunesa,Cameroonian
Canadá,Canada,canadiense,Canadian
Catar,Qatar,catarí,Qatari
Chad,Chad,chadiano/a,Chadian
Chile,Chile,chileno/a,Chilean
China,China,chino/a,Chinese
Chipre,Cyprus,chipriota,Cypriot
Colombia,Colombia,colombiano/a,Colombian
Comoras,Comoros,comorense,Comoran
Congo,Congo,congoleño/a,Congolese
Corea del Norte,North Korea,norcoreano/a,North Korean
Corea del Sur,South Korea,surcoreano/a,South Korean
Costa de Marfil,Ivory Coast,marfileño/a,Ivorian
Costa Rica,Costa Rica,costarricense,Costa Rican
Croacia,Croatia,croata,Croatian
Cuba,Cuba,cubano/a,Cuban
Dinamarca,Denmark,danés/danesa,Danish
Dominica,Dominica,dominiqués/dominiqueña,Dominican (from Dominica)
Ecuador,Ecuador,ecuatoriano/a,Ecuadorian
Egipto,Egypt,egipcio/a,Egyptian
El Salvador,El Salvador,salvadoreño/a,Salvadoran
Emiratos Árabes Unidos,United Arab Emirates,emiratí,Emirati
Eritrea,Eritrea,eritreo/a,Eritrean
Eslovaquia,Slovakia,eslovaco/a,Slovak
Eslovenia,Slovenia,esloveno/a,Slovene
España,Spain,español/española,Spanish
Estados Unidos,United States,estadounidense,American
Estonia,Estonia,estonio/a,Estonian
Esuatini,Eswatini,suazi,Swazi
Etiopía,Ethiopia,etíope,Ethiopian
Filipinas,Philippines,filipino/a,Filipino
Finlandia,Finland,finlandés/finlandesa,Finnish
Fiyi,Fiji,fiyiano/a,Fijian
Francia,France,francés/francesa,French
Gabón,Gabon,gabonés/gabonesa,Gabonese
Gambia,Gambia,gambiano/a,Gambian
Georgia,Georgia,georgiano/a,Georgian
Ghana,Ghana,ghanés/ghanaesa,Ghanaian
Granada,Grenada,granadino/a,Grenadian
Grecia,Greece,griego/a,Greek
Guatemala,Guatemala,guatemalteco/a,Guatemalan
Guyana,Guyana,guyanés/guyanesa,Guyanese
Guinea,Guinea,guineano/a,Guinean
Guinea-Bisáu,Guinea-Bissau,bisauguineano/a,Bissau-Guinean
Guinea Ecuatorial,Equatorial Guinea,ecuatoguineano/a,Equatorial Guinean
Haití,Haiti,haitiano/a,Haitian
Honduras,Honduras,hondureño/a,Honduran
Hungría,Hungary,húngaro/a,Hungarian
India,India,indio/a,Indian
Indonesia,Indonesia,indonesio/a,Indonesian
Irak,Iraq,iraquí,Iraqi
Irán,Iran,iraní,Iranian
Irlanda,Ireland,irlandés/irlandesa,Irish
Islandia,Iceland,islandés/islandesa,Icelander
Islas Marshall,Marshall Islands,marshallés/marshalesa,Marshallese
Islas Salomón,Solomon Islands,salomonense,Solomon Islander
Israel,Israel,israelí,Israeli
